hora,plataforma,impressoes,cliques,custo,conversoes,ctr,cpc
21,Google Ads,2058,494,51.041768,300.966936,24.00388726919339,0.10332341700404858
22,Google Ads,1348,303,29.15479,169.380951,22.47774480712166,0.09622042904290429
23,Google Ads,825,207,20.144574,124.683334,25.09090909090909,0.09731678260869564
0,Google Ads,664,209,15.596007,120.05412,31.475903614457827,0.07462204306220095
1,Google Ads,301,78,5.165853,33.166667,25.91362126245847,0.06622888461538462
2,Google Ads,168,43,2.584362,28.100002,25.595238095238095,0.060101441860465114
3,Google Ads,106,22,1.602674,4.583334,20.754716981132077,0.07284881818181818
4,Google Ads,85,25,2.59244,13.333333,29.411764705882355,0.1036976
5,Google Ads,163,40,4.91923,35.0,24.539877300613497,0.12298075
6,Google Ads,439,108,15.983269,86.775462,24.601366742596813,0.14799323148148147
7,Google Ads,1053,263,29.521703,230.076485,24.976258309591643,0.11224982129277566
8,Google Ads,1980,485,51.876536,357.442691,24.494949494949495,0.10696192989690723
9,Google Ads,2954,710,67.239651,568.488956,24.035206499661477,0.0947037338028169
10,Google Ads,3822,832,83.195328,691.961336,21.768707482993197,0.09999438461538462
11,Google Ads,4151,1001,104.383273,850.358004,24.11467116357504,0.10427899400599401
12,Google Ads,4978,1250,119.014491,971.727288,25.110486139011652,0.09521159280000001
13,Google Ads,4339,1075,105.098825,798.588063,24.77529384650841,0.0977663488372093
14,Google Ads,4150,944,97.874872,776.19102,22.746987951807228,0.10368100847457627
15,Google Ads,4082,902,97.52779,702.803684,22.097011268985792,0.10812393569844789
16,Google Ads,4224,984,94.516455,762.266467,23.295454545454543,0.09605330792682926
17,Google Ads,4597,1075,114.617141,831.910854,23.384816184468132,0.10662059627906977
18,Google Ads,4495,1068,106.764143,883.574445,23.759733036707452,0.09996642602996256
19,Google Ads,3411,843,79.096228,742.79013,24.714160070360595,0.09382707947805456
20,Google Ads,2535,631,53.475353,474.607791,24.891518737672584,0.08474699366085578
21,Google Ads,1949,508,41.932737,305.818054,26.064648537711648,0.08254475787401576
22,Google Ads,1078,281,22.57991,146.961412,26.066790352504636,0.08035555160142349
23,Google Ads,651,163,12.272042,91.762179,25.038402457757297,0.07528860122699386
0,Google Ads,588,137,11.648055,66.583333,23.299319727891156,0.08502229927007299
1,Google Ads,316,71,5.941043,35.583333,22.468354430379748,0.08367666197183098
2,Google Ads,155,40,2.961744,24.0,25.806451612903224,0.0740436
3,Google Ads,84,17,1.49321,10.5,20.238095238095237,0.08783588235294117
4,Google Ads,63,16,1.347586,16.0,25.396825396825395,0.084224125
5,Google Ads,151,36,3.463279,32.142857,23.841059602649008,0.09620219444444444
6,Google Ads,416,101,11.419063,75.020834,24.278846153846153,0.11306002970297029
